"","word","num","dt_max","dt_min","dt_first","adopter10","adopter100","num_first_adopters","id","dist","race","ses","lang","pol"
"236","birbs",1015,"2019-04",0,"2017-01",2017-05-27,2018-06-23,100,"216906318,167954578,81034740,16598970,2250536698,364054890,449533472,204870137,177432900,561425606,2649885667,500183435,522588569,874430355498909697,3115307831,328876192,2161686878,14803742,1011480529,873372016056950784,409012965,91904295,136812104,192293312,59006181,88768234,721512282404954113,44003872,21981999,28726580,17488457,210184591,552280101,167588018,2174912901,40456381,558043957,22111877,4153296134,203114508,14303234,105253188,39780936,467035507,131376545,837780081472786432,3774342433,2834142139,4434871525,308203054,2943495390,338084693,2553984817,743411745570553856,251439590,16345861,987554040,14477873,1628149813,35324308,497257728,22793462,466757366,29524918,15829680,761699269,1061855023,2945729238,162249662,1564143529,491062824,472418549,30058582,738478928,339933856,427610389,424600402,2218534093,840733969029160961,107226696,747285357813653504,1281426013,15646687,426474702,4094305936,1866211717,1198218607,42213375,349366834,283789322,2945668664,1084440967,809208018,1894696536,546221591,124473285,389871921,27699670,21305689,15795740",0,0,1,0,0
"287","boffum",3188,"2019-01",0,"2018-02",2018-08-18,2018-11-25,100,"594277103,2151605605,745806009998938112,270090370,231884543,226062160,177983584,61349409,1087592468,2164538973,165961451,2398364247,55586464,197113045,176573814,303502997,238135225,170949843,319432950,775759097396277248,333940399,271473393,1447008354,2828424644,241317760,129895976,250858214,2970197405,2247705020,771322256043552768,537657053,994559584718196737,738167991079079937,468158168,64103989,172016160,2730513819,63906771,3335989779,929781640397762560,1038897287366361088,318461898,268247233,130375411,760164776504811520,1001115060348051456,4168288035,319342572,3244845740,237945095,38276475,244258494,425051143,363526634,1690919940,969762043820724224,2235495220,1040791237459148801,579410931,945762662,350601257,262518499,409022032,21025093,724590211,1564344457,539870845,433749086,3171862865,1855569032,55970302,2996593217,2546399350,2902243428,303851177,392409430,470786846,69313739,32246944,2401945964,383910563,2952250019,4875475665,772453615,2850290999,453356210,40146734,236093531,371386164,2767594433,1053733871601283073,509652531,1915851818,2693015861,167187657,706308935,3911896204,76814700,1888724911,2615789952",0,1,0,0,0
"450","caucasity",1708,"2019-02",0,"2014-04",2014-08-20,2015-11-09,100,"30970915,161905290,16126509,17965521,304587968,275145897,348783422,258553816,303193501,119108651,748065798,14594844,68020673,15501305,57712193,15925396,21175140,82070380,338518584,576635322,15009761,16265742,314895174,219418659,5516522,2765775843,2865022953,239506290,617851798,25648165,368614487,433677297,380667593,399893448,25719277,1942298286,82935431,61271444,334484904,19838869,92196565,357358789,895400689,153061933,44743557,18791012,1379801040,39793617,33386958,284210087,19276157,16098365,2635749023,413623287,34049572,15384687,213561494,27105217,14344402,63649416,167064004,40062695,2614211058,1534557020,1252154210,190423912,96427897,18352422,24486000,16591199,16332215,52107740,16571265,24483999,1402782552,848743428,199911011,29683946,19139408,56208260,17135399,30945891,958743894,15491015,16175682,25629193,125632328,344707874,49786787,308847530,795322106,512581358,329811439,86187569,117499465,33107885,383821678,109657942,2283841056,129579981",0,0,1,1,0
"466","challs",4598,"2016-07",0,"2014-11",2015-02-11,2015-09-18,100,"2451914606,406826774,2199006193,892000892,2391476281,33367121,129367894,2260697779,1630006628,2356610802,614718096,1173728198,1939701608,1301505332,1411677020,2407126903,2318558557,41208574,2241667830,1411736683,441518626,1573679119,1062714834,2792323629,555900670,2276759720,2560116072,1253453630,2756407995,3010718263,2266203539,2694976464,2297392386,2854524595,2754190975,313132000,985902865,2950968733,922197042,2426298986,2831847980,2204066341,2713463302,1649135970,2303552820,550606924,1689524462,1540635528,418870518,1556723346,2643156265,2934838007,2258686712,598944799,1468441099,1677405883,1153795758,2887477570,2298993378,3036928436,3271516435,844633940,2608188967,1332507205,378059282,2373120373,406100005,718560785,322233434,261869706,3098254170,2812001383,2847594350,2990259873,625908548,1634606096,618468742,2178991904,2857888541,1160804330,1644408852,1337999647,278067533,2857822743,419040111,2334431881,2573020251,3266763468,1952777738,3010994393,3214070099,1067312850,2686002839,2568008034,2439022082,2971212271,837393402,756050869,2716135173,731161994",0,0,1,0,0
"494","chillay",1012,"2018-12",0,"2018-09",2018-11-12,2018-12-02,100,"272706086,2350310972,2841532644,1206035390,512124880,975519523,1327073047,34813968,139570835,331236534,2892986202,276356511,3082636819,173320032,40740575,19173133,105451733,3087879653,1197528210,634036892,1421229906,394753023,783511212,422990045,1008238124,112292876,600555047,175257204,1487647909,126420520,279753919,607422614,185917784,21536930,106793434,2526037019,134934376,2926249385,362805544,894582715152035840,56434700,108672166,137121463,327094058,358290379,44476616,321640812,22795440,2926012558,300508790,511102836,28446753,28001994,2239743295,821557746436886529,3041626419,940751130,367931235,2901807012,277589900,1942490922,724662849679683584,236477223,489562028,560353121,36280819,30380519,302513363,295408996,31015383,4507796301,235304164,358930933,2873496183,49549548,815502962134949888,342385960,154128453,89609282,27258530,144364095,64020742,2707824780,329406970,184830022,223330445,24495618,2947431863,174405734,2238482364,360729285,2941750990,185913344,61025864,776622117014036480,926688799,829521155065335809,137222741,997539908351766528,15757699",0,0,0,0,1
"593","cringiest",1665,"2016-06",0,"2015-05",2015-08-01,2016-03-19,100,"339281766,2763848347,1637187560,1654615772,261034598,1110182340,177236624,59595077,735765456,2311820894,457047140,2765738045,425463213,432198953,3384158819,104387738,1483526040,466971980,39339931,2398475894,2545269976,1616459028,3292321505,374130998,389849938,404448011,39148923,1468408663,18892333,2225401272,2832733383,8701682,277619313,116358301,2723605749,2366242506,568681272,2827277024,38779213,1711931550,315854269,44990895,381895962,61677326,1861724066,131310904,523912849,1319501976,741451416,2837381883,2871622911,2247618115,92870139,2497533231,2416671090,237408240,110937131,1553821656,341864322,2398543634,398971142,2720971998,143977516,453715727,1509482023,2582831774,66213051,1258526546,153876973,246962167,3286202803,22064255,6063952,2902338146,19224173,54796761,3092635433,739684080,2924943799,4015402311,2297358883,3031883473,2826769864,2895460438,734477294,2800834085,41465928,17193313,308882629,22560684,2580980701,2173115808,1601932926,385209803,783539977,616873884,1380133309,496974569,20560075,2468690376",0,1,1,1,0
"612","cucked",2168,"2016-11",0,"2014-10",2015-02-02,2015-11-20,100,"38460804,2450451248,283408897,169256241,259510681,601320254,79309628,1968272454,2255848520,110659981,71407283,57383080,595757988,24465244,2288820930,2605419165,831605958,489035034,2365969721,2474743944,46561310,418403417,16540862,152350498,15463666,327505058,18709482,168741740,962967806,1312444874,21568650,15865042,16857215,470433051,161091823,2159662937,482671542,45419110,23662573,2765738045,21970248,235658620,923728363,2840848066,22265310,30805121,3394097716,2953043526,631924075,1265743832,49132522,37238075,3083847671,2377540724,337284868,473279639,1716663295,26643244,571512613,22513648,18950770,2886095098,2322095863,8057892,57515678,436463305,251183505,76152016,334402917,299277303,268357707,449801993,398666444,2583550982,3648998236,3890595261,1020875798,2992643773,1031956656,280298303,76532226,2288926339,101871379,1927627568,1407551054,403916159,94441197,2988185117,159336110,547294860,760646456,166426753,2889462485,1513825298,1619906959,2823224424,417447333,276353099,43715895,730353979",0,0,1,0,0
"617","cummies",1430,"2019-08",0,"2017-08",2018-03-22,2018-09-17,100,"1877754092,150808214,32275559,2495266058,852158342,170510913,22222283,324786360,326059785,299379841,53169848,484176316,784692471989022720,721519863483744256,768929541976825856,456127353,344864021,1958367018,68855186,1428253423,327726664,923658193338814464,17301451,857412209659531264,448474039,582421690,166276007,1226006935,917976036,3018261969,766934450,3242843465,770244397615058946,468910642,1341824448,1473726408,733740979,955319152788606977,2240094103,1852426124,114906202,64246634,842459610,363439529,372405423,172872428,902646979423064064,1468091822,3163016162,354755914,2790418473,762845071,871261766931447808,864080552,30790987,725194244961492992,462098772,1442087060,2892020337,48167465,39682349,1262865001,566604046,394830777,307037308,346359308,125828483,65989961,14860992,879181162354180100,471339706,1430276449,374191460,3378086811,781310904788889600,628403474,2546819622,1584323400,26339628,2873364197,2177112410,1255770247,265286834,1025012733777858561,14373063,1847465066,1278879648,379997298,1431990198,2446341373,355416292,787503114,446875464,500437962,309398902,424610614,773914114003464192,2900088487,2881667108,1629585998",0,1,1,0,0
"625","cutecumber",1625,"2015-03",0,"2013-06",2013-10-09,2013-12-21,100,"99821342,177523178,315263413,1293524575,522028650,129290145,520023506,1573376815,323635484,1334345502,359775349,548862643,381236530,1450419944,451760012,551469017,364899125,335048980,338213107,225535313,501417800,842986224,547288862,479003485,1340361146,553980561,861588264,414322887,1708467812,987185972,470409207,1010093418,719784836,805100288,38606911,384616564,373800129,162071401,253104436,879053485,146624382,781255034,351107005,587901007,408810678,269508303,260533540,197908727,354484545,90779621,317267614,520550998,411914162,1085595697,168368945,349325462,547206983,1347965473,592035563,408153617,983545273,1423480394,40125639,447659335,347534046,619599204,472518940,600468219,453790196,1306513561,451860821,2213397470,926679956,137944431,700106887,322078159,424426097,426207936,314178158,334085858,77401679,389643305,594319533,1877341531,591358430,320640958,324723791,383392397,30732405,593355290,259126439,1578454706,578472343,982183430,83956030,479852658,524827046,391137782,389707291,92108127",0,1,0,0,0
"636","daddyish",2321,"2016-06",0,"2015-08",2015-11-24,2016-02-21,100,"1611989124,996453469,3735009792,70531590,2491994280,157897429,45187877,758891814,2866465626,352918899,332409121,4339271772,238638681,336245792,1315853982,3241058935,621494646,1170423062,548130451,3122629116,1887526920,862003868,3267261816,282793594,77925339,4628612652,287423859,1356607622,4334192615,2361690023,325220013,258244959,345614546,341222795,1698235116,39646477,82437585,1043114340,1917353083,322947131,1537191386,334512554,3353415738,55419448,1402645802,231140001,2945444924,443270466,2165291445,876380136,3078423471,2195412298,215105912,3312079157,3298540836,435088229,940520664,1370963772,2872494671,79874795,47136307,2971899574,621367561,909139243,2923541431,3193444188,2948824503,432011563,3380788629,2277122635,2217228271,3039956269,244557696,464750161,3105590196,2866342180,625661281,209635995,895868028,2243342101,541337736,2195560327,4010169139,497365562,449022226,261887462,325841904,816223208,399487331,4473127655,769975441,341797687,2871652499,896413676,474425110,1426857842,3070586910,872836638,2855063281,751868490",0,1,0,0,0
